ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","54210","1233","3","0","0","1","1","0","0","0","127.608223000","0.000153000","0.206020000","0.000153000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","55443","372","0","3","0","0","1","0","0","0","0","127.609160000","0.000937000","0.206957000","0.000937000"
,,,,,,,,,,,,,,,,,,,"127.621021000","0.011861000",,
,,,,,,,,,,,,,,,,,,,"127.621048000","0.000027000",,
,,,,,,,,,,,,,,,,,,,"127.621234000","0.000186000",,
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","55443","1460","3","0","0","1","1","0","0","0","127.622911000","0.001677000","0.220708000","0.013751000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","56903","1460","3","0","0","1","1","0","0","0","127.623147000","0.000236000","0.220944000","0.000236000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","58363","1460","3","0","0","1","1","0","0","0","127.623443000","0.000296000","0.221240000","0.000296000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","59823","1233","3","0","0","1","1","0","0","0","127.623689000","0.000246000","0.221486000","0.000246000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","58363","372","0","3","0","0","1","0","0","0","0","127.624037000","0.000348000","0.221834000","0.000348000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","61056","1460","3","0","0","1","1","0","0","0","127.624466000","0.000429000","0.222263000","0.000429000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","61547","61056","372","0","3","0","0","1","0","0","0","0","127.624484000","0.000018000","0.222281000","0.000018000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","61056","372","0","3","0","0","1","0","0","0","0","127.624740000","0.000256000","0.222537000","0.000256000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","62516","1233","3","0","0","1","1","0","0","0","127.624858000","0.000118000","0.222655000","0.000118000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","63749","372","0","3","0","0","1","0","0","0","0","127.625567000","0.000709000","0.223364000","0.000709000"
,,,,,,,,,,,,,,,,,,,"127.652222000","0.026655000",,
,,,,,,,,,,,,,,,,,,,"127.652462000","0.000240000",,
,,,,,,,,,,,,,,,,,,,"127.839670000","0.187208000",,
,,,,,,,,,,,,,,,,,,,"127.839908000","0.000238000",,
,,,,,,,,,,,,,,,,,,,"127.839932000","0.000024000",,
,,,,,,,,,,,,,,,,,,,"127.839953000","0.000021000",,
,,,,,,,,,,,,,,,,,,,"127.839967000","0.000014000",,
"192.168.0.5","192.168.0.11","93","1","0","128","6","65164","372","63749","53","3","0","0","1","1","0","0","0","129.308567000","1.468600000","1.906364000","1.683000000"
"192.168.0.11","192.168.0.5","93","1","0","128","6","64187","63802","372","53","3","0","0","1","1","0","0","0","129.309535000","0.000968000","1.907332000","0.000968000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65111","425","63802","0","3","0","0","1","0","0","0","0","129.480407000","0.170872000","2.078204000","0.170872000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","4","0","0","0","0","0","1","0","138.340670000","8.860263000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","4","0","0","1","0","0","1","0","138.341749000","0.001079000","0.001079000","0.001079000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","4","0","0","1","0","0","0","0","138.341941000","0.000192000","0.001271000","0.000192000"
"192.168.0.5","192.168.0.11","177","1","0","128","6","65535","1","1","137","4","0","0","1","1","0","0","0","138.342182000","0.000241000","0.001512000","0.000241000"
"192.168.0.11","192.168.0.5","129","1","0","128","6","64103","138","1","89","4","0","0","1","1","0","0","0","138.344550000","0.002368000","0.003880000","0.002368000"
